Date,Open,Close,Low,High
02/06/2015,447.81,445.11,441.37,454.92
03/06/2015,445.26,443.73,440.31,450.88
04/06/2015,447.29,451.95,443.3,453.63
05/06/2015,450.71,448.75,447.74,454
08/06/2015,450.12,438.45,437.66,451.03
09/06/2015,438.45,437.78,434.86,441.05
10/06/2015,438.33,448.68,438.33,450.66
11/06/2015,449.17,434.46,432.88,450.19
12/06/2015,435.5,440.38,435.28,442.04
15/06/2015,442.64,446.25,440.8,448.03
16/06/2015,445.71,447.71,442.04,448.68
17/06/2015,448.23,461.16,442.98,465.77
18/06/2015,462.79,484.91,462.1,486.37
19/06/2015,486.87,493.55,486.87,498.26
22/06/2015,493.75,491,488.67,499.59
23/06/2015,491.69,492.68,490.7,496.47
24/06/2015,492.93,490.7,488.35,498.53
25/06/2015,490.58,497.59,487.93,499.77
26/06/2015,496.4,495.06,493.06,502.12
29/06/2015,487.86,490.7,481.71,492.12
30/06/2015,490.33,495.51,489.34,497.02
01/07/2015,496.47,498.13,496.28,500.56
02/07/2015,498.78,500.39,498.33,505.17
03/07/2015,500.68,498.63,496.99,501.97
06/07/2015,495.29,502.86,493.3,504.62
07/07/2015,502.22,496.97,495.43,503.46
08/07/2015,495.29,492.71,490.56,499.35
09/07/2015,492.98,488.99,487.51,496
10/07/2015,492.64,496.05,490.53,497.14
13/07/2015,495.78,498.85,493.01,501.35
14/07/2015,499.45,494.1,492.93,500.96
15/07/2015,495.29,500.93,494.79,502.22
16/07/2015,501.48,507,500.93,508.91
17/07/2015,506.68,506.26,504.2,510.64
20/07/2015,508.21,507.54,504.25,510.09
21/07/2015,508.51,499,496.72,509.15
22/07/2015,498.9,520.27,497.84,521.78
23/07/2015,522.53,517.89,515.59,528.47
24/07/2015,518.17,507.69,505.98,520.05
27/07/2015,508.66,498.16,495.93,512.62
28/07/2015,499.99,500.21,495.41,503.58
29/07/2015,501.23,493.03,491.42,501.45
30/07/2015,496.13,494.94,491.84,499.25
31/07/2015,496.28,496.1,490.33,499.2
03/08/2015,495.85,495.85,494.39,501.82
04/08/2015,495.9,489.39,485.45,497.98
05/08/2015,490.33,489.17,487.36,495.29
06/08/2015,492.31,485.08,484.39,492.31
07/08/2015,485.87,487.48,483.05,492.31
10/08/2015,487.86,480.48,478.57,490.23
11/08/2015,483.4,478.62,474.76,483.4
12/08/2015,478.62,467.08,465.64,478.62
13/08/2015,469.53,463.04,461.23,472.55
14/08/2015,464.87,478.97,463.04,481.39
17/08/2015,478.94,470.55,469.18,478.97
18/08/2015,473.1,467.72,466.56,474.9
19/08/2015,467.99,471.86,465.39,475.7
20/08/2015,475.42,455.09,453.8,475.47
21/08/2015,450.71,449.37,444.44,451.6
24/08/2015,440.8,410.57,405.64,440.8
25/08/2015,416.04,422.43,408.31,426.44
26/08/2015,419.95,422.7,416.76,433.28
27/08/2015,430.06,430.68,424.78,435.85
28/08/2015,435.63,431.49,428.97,437.34
31/08/2015,431.02,424.36,423.22,431.49
01/09/2015,422.26,416.11,413.66,422.48
02/09/2015,420.99,420.65,417.67,424.43
03/09/2015,422.92,422.85,418.54,426.14
04/09/2015,419.56,413.86,408.73,421.17
07/09/2015,414.55,412.6,409.97,418.02
08/09/2015,414.06,420.47,409.11,422.58
09/09/2015,425.45,432.41,421.66,435.11
10/09/2015,425.99,429.39,423.96,430.9
11/09/2015,432.56,426.47,424.61,434.02
14/09/2015,426.84,427.46,422.03,428.12
15/09/2015,426.94,429.68,424.06,430.72
16/09/2015,430.9,431.94,428.42,434.56
18/09/2015,434.61,443.33,434.41,445.26
21/09/2015,435.85,434.71,433.72,439.69
22/09/2015,435.9,419.73,418.52,438.05
23/09/2015,416.04,421.69,416.04,424.34
24/09/2015,420,415,413.59,420
28/09/2015,415,413.24,411.09,416.49
29/09/2015,410.59,415.62,409.38,420.65
30/09/2015,420.03,426.19,415.35,427.43
01/10/2015,431.89,427.08,425.35,432.14
05/10/2015,428.42,438.95,427.18,440.75
06/10/2015,442.34,443.73,438.6,445.26
07/10/2015,443.68,452.62,440.83,454.18
08/10/2015,452.76,440.38,439.12,453.19
09/10/2015,444.2,439,436.89,448.18
12/10/2015,440.8,441.82,440.06,446.08
13/10/2015,439.71,442.07,437.34,443.28
14/10/2015,442.36,446.75,441.94,447.74
15/10/2015,449.35,447.74,445.81,451.01
16/10/2015,448.23,451.8,447.74,453.04
19/10/2015,466.36,477.16,466.36,478.05
20/10/2015,476.96,473.22,471.07,478.84
21/10/2015,473.49,472.87,471.91,482.41
23/10/2015,476.51,473.42,470.92,482.09
26/10/2015,474.51,467.05,465.57,476.96
27/10/2015,466.46,465.17,464.33,469.41
28/10/2015,464.58,464.21,460.79,467.8
29/10/2015,464.97,466.34,463.34,468.02
30/10/2015,466.34,469.46,465.96,473.37
02/11/2015,468.59,475.05,468.17,475.72
03/11/2015,476.46,478.64,476.46,480.43
04/11/2015,481.42,471.56,468.89,482.9
05/11/2015,471.02,464.01,462.13,471.26
06/11/2015,464.58,471.73,464.58,472.5
09/11/2015,463.09,475.47,458.14,476.59
10/11/2015,474.04,456.63,454.18,474.95
11/11/2015,459.62,460.1,459.13,462.1
13/11/2015,454.67,460.71,453.19,464.16
16/11/2015,460.12,462.13,457.99,466.46
17/11/2015,463.93,459.38,458.61,464.92
18/11/2015,459.13,451.87,450.71,461.43
19/11/2015,455.41,462.7,454.67,464.33
20/11/2015,463.29,468.51,458.34,471.56
23/11/2015,469.31,471.56,468.37,473.32
24/11/2015,471.54,479.44,470.89,480.92
26/11/2015,480.38,489.19,479.66,490.63
27/11/2015,490.33,484.91,482.58,491.32
30/11/2015,483.97,479.44,477.45,487.26
01/12/2015,478.64,478.22,476.46,484.64
02/12/2015,478.64,483.7,478.35,484.69
03/12/2015,484.14,483.79,482.09,489.47
04/12/2015,482.16,478.32,476.41,483.4
07/12/2015,478.94,472.35,471.02,481.86
08/12/2015,470.57,466.78,464.43,472.5
09/12/2015,465.57,453.66,452.2,467.72
10/12/2015,456.23,470.47,455.79,472.2
11/12/2015,470.57,471.64,467,474.9
14/12/2015,468.79,473.22,468.79,476.81
15/12/2015,473.49,483.35,472.01,484.34
16/12/2015,482.11,484.39,482.11,488.8
17/12/2015,485.5,499.42,484.39,501.85
18/12/2015,496.77,491.35,490.41,499.74
21/12/2015,489.61,491.45,487.86,494.39
22/12/2015,490.88,489.09,487.36,496.52
23/12/2015,492.02,497.04,490.78,498.26
24/12/2015,498.01,495.73,493.35,499.25
28/12/2015,497.27,499.52,495.78,502
29/12/2015,501.72,502.79,499,504.45
30/12/2015,503.06,497.69,496.33,503.7
31/12/2015,497.27,501.53,495.29,503.7
01/01/2016,500.24,502.89,499.62,505.19
04/01/2016,498.26,493.01,488.99,502.32
05/01/2016,496.28,497.81,493.72,500.24
06/01/2016,497.76,511.11,495.56,514.11
07/01/2016,507.07,501.01,499.37,508.95
08/01/2016,504.7,507.2,495.31,511.21
11/01/2016,500.73,520.82,500.73,524.98
12/01/2016,522.03,517.62,515.62,527.48
13/01/2016,522.43,533.6,504.87,538.57
14/01/2016,526.04,525.6,521.24,535.4
15/01/2016,529.95,531.52,527.97,539.61
18/01/2016,531.47,504.2,500.29,536.12
19/01/2016,507.67,516.88,502.81,519.55
20/01/2016,515.34,497.44,490.58,515.34
21/01/2016,503.36,487.81,484.46,508.01
22/01/2016,492.81,497.24,492.68,500.31
25/01/2016,499.35,497.66,495.36,504.4
27/01/2016,499.22,494.96,493.38,500.09
28/01/2016,495.29,503.66,494.17,506.06
29/01/2016,505.19,512.64,504.62,514.8
01/02/2016,515.1,509.2,507.74,515.59
02/02/2016,510.64,496.28,490.48,511.13
03/02/2016,489.39,485.73,482.9,491.92
04/02/2016,490.33,482.38,479.44,495.29
05/02/2016,483.55,481.57,476.96,486.37
08/02/2016,481.37,476.27,474.33,487.48
09/02/2016,471.07,473.79,470.69,479.68
10/02/2016,471.14,476.66,470,481.86
11/02/2016,476.96,456.88,453.8,478.45
12/02/2016,461.14,448.88,440.06,462.1
15/02/2016,456.16,467.87,455.66,470.5
16/02/2016,471.91,460.44,459.13,474.48
17/02/2016,462.3,471.73,454.23,473.49
18/02/2016,476.46,466.14,463.74,479.31
19/02/2016,466.14,467.82,464.48,471.73
22/02/2016,468.49,476.69,468.07,479.39
23/02/2016,477.45,470.87,467.08,478.89
24/02/2016,468.69,471.78,466.83,474.98
25/02/2016,473.99,467.75,466.41,473.99
26/02/2016,470.52,470.77,468.02,474.73
29/02/2016,471.07,478.72,463.74,491.82
01/03/2016,479.19,486.49,477.95,487.86
02/03/2016,491.57,495.88,489.09,497.89
03/03/2016,498.88,501.5,494.07,503.83
04/03/2016,503.7,498.5,497.14,504.2
08/03/2016,498.26,508.73,498.26,510.64
09/03/2016,504.7,516.06,503.88,517.08
10/03/2016,516.93,501.23,499.74,517.57
11/03/2016,503.46,503.04,500.88,509.9
14/03/2016,504.27,504.47,501.72,508.16
15/03/2016,505.69,505.39,503.21,508.63
16/03/2016,505.69,506.06,497.96,508.01
17/03/2016,509.15,502.99,501.43,513.31
18/03/2016,504.7,507.77,503.33,509.35
21/03/2016,508.76,513.21,506.92,514.6
22/03/2016,514.16,519.31,513.49,521.29
23/03/2016,518.56,509.82,506.68,518.56
28/03/2016,509.65,505.44,502.96,511.11
29/03/2016,506.7,512.82,506.38,515.54
30/03/2016,515.27,517.52,515.22,520.5
31/03/2016,516.58,517.7,512.17,523
01/04/2016,514.6,511.95,508.36,518.02
04/04/2016,513.19,512.69,507.39,516.31
05/04/2016,510.14,509.2,506.5,516.09
06/04/2016,510.54,510.86,506.28,513.07
07/04/2016,511.13,514.08,506.8,519.06
08/04/2016,511.88,514.03,511.16,522.03
11/04/2016,512.72,515.02,511.78,517.57
12/04/2016,515.24,518.64,514.4,523.52
13/04/2016,521.04,527.7,521.04,529.11
18/04/2016,527.7,525.87,522.53,527.83
20/04/2016,529.06,514.25,512.79,529.95
21/04/2016,517.52,515.54,512.62,520.79
22/04/2016,515.59,514.48,510.39,518.93
25/04/2016,516.43,503.28,501.6,517.52
26/04/2016,503.7,503.61,499.25,507.1
27/04/2016,505.14,505.04,502.76,508.09
28/04/2016,505.04,493.97,491.32,505.04
29/04/2016,493.16,486.64,484.31,494.67
02/05/2016,486.07,488.5,483.92,491.57
03/05/2016,490.23,483.42,481.71,492.66
04/05/2016,483.4,484.14,482.53,487.19
05/05/2016,486.49,482.93,480.97,487.11
06/05/2016,482.9,480.01,479.19,483.87
09/05/2016,482.9,486.84,481.66,488.35
10/05/2016,486.37,486.05,484.41,487.78
11/05/2016,481.91,482.83,480.92,485.6
12/05/2016,483.89,490.85,483.25,491.55
13/05/2016,489.34,484.39,483.15,490.78
16/05/2016,484.51,483.47,481.42,486.39
17/05/2016,485.38,480.53,478.77,487.01
18/05/2016,478.94,480.5,478.05,481.79
19/05/2016,481,470.79,468.61,481.27
20/05/2016,471.09,462.65,461.78,472.8
23/05/2016,464.78,460.62,458.49,465.57
24/05/2016,461.06,465.59,460.12,467.23
25/05/2016,470.12,470.15,466.36,471.46
26/05/2016,470.79,468.86,467.67,472.01
27/05/2016,471.26,481.74,470.27,483.25
30/05/2016,482.9,480.15,478.45,486.1
31/05/2016,479.88,474.95,473.59,481.66
01/06/2016,474.88,472.16,471.14,478.69
02/06/2016,473.54,473.49,468.17,474.11
03/06/2016,474.24,474.46,473.2,477.26
06/06/2016,474.98,473.44,472.01,476.84
07/06/2016,473.49,472.82,471.41,476.02
08/06/2016,473.99,472.58,470.62,474.48
09/06/2016,474.51,481.14,474.48,483.89
10/06/2016,481.91,483.22,479.78,487.46
13/06/2016,480.43,485.03,477.45,487.01
14/06/2016,486.37,482.85,480.08,487.61
15/06/2016,484.14,486.57,482.16,487.81
16/06/2016,486.32,482.68,479.19,487.11
17/06/2016,483.89,482.04,480.43,484.83
20/06/2016,477.95,490.6,477.95,491.82
21/06/2016,492.81,488.97,485.48,492.81
22/06/2016,488.82,485.63,483.89,488.82
23/06/2016,485.38,486.32,480.43,487.09
24/06/2016,478.45,471.26,462.79,478.45
27/06/2016,470.45,473.54,467.55,474.88
28/06/2016,474.24,474.58,473.49,476.24
29/06/2016,475.97,478.87,475.62,479.83
30/06/2016,480.92,480.15,479.11,484.26
01/07/2016,482.16,482.23,480.53,483.62
04/07/2016,484.39,488.67,483.5,491.5
05/07/2016,490.31,491.79,485.63,496.67
07/07/2016,492.04,489.29,488.72,495.29
08/07/2016,489.34,485.43,484.66,489.84
